"gene","gene_len","transcript_len","intron_len"
"Gm31523",10382,2271,8111
"Gm7634",710,519,191
"4930444P10Rik",27352,1849,25503
"Rpl7",3139,934,2205
"Rdh10",27955,3546,24409
"Stau2",291379,5733,285646
"LOC102634042",19713,7576,12137
"Ube2w",78633,4767,73866
"Gm31780",5289,5205,84
"Tceb1",15373,2457,12916
"D030040B21Rik",4727,2788,1939
"Gm7654",1330,1330,0
"Tmem70",13085,2081,11004
"Gm31863",7214,857,6357
"Ly96",21758,1044,20714
"Gm5828",1860,1860,0
"Jph1",155080,5206,149874
"Gm31982",26003,1065,24938
"Gm28783",8375,2937,5438
"Gdap1",18899,3938,14961
"Gm28784",4708,3946,762
"LOC105243867",2608,472,2136
"Gm5251",1089,1089,0
"Rbm6-ps1",4051,3907,144
"Gm6075",729,729,0
"Pi15",29039,6923,22116
"Gm28154",26014,5371,20643
"Gm16070",51620,2264,49356
"Crispld1",39323,4602,34721
"LOC105243868",193901,1492,192409
"Gm7690",2646,2646,0
"Gm18775",6664,6664,0
"Gm17969",3659,3659,0
"Crisp4",31063,1781,29282
"Defb44-ps",13512,222,13290
"Defb18",971,258,713
"Defb41",14161,469,13692
"Gm15386",4615,256,4359
"Gm17837",985,985,0
"LOC105243869",28991,1450,27541
"Gm5252",911,911,0
"Gm15825",12192,774,11418
"Tfap2d",65571,4968,60603
"LOC102635075",794,794,0
"Tfap2b",29932,7443,22489
"LOC105243870",1171,328,843
"Gm4849",2734,2734,0
"Gm32651",30646,369,30277
"Pkhd1",560304,15294,545010
"4930486I03Rik",35847,786,35061
"LOC105243871",2400,252,2148
"Mir206",73,73,0
"Mir133b",119,119,0
"Il17a",3592,1171,2421
"Il17f",8129,1973,6156
"Mcm3",17200,2886,14314
"Gm20587",1185,1185,0
"6720483E21Rik",1824,1120,704
"Paqr8",49029,5447,43582
"Efhc1",39291,2357,36934
"Tram2",77829,1390,76439
"Tmem14a",63732,1467,62265
"Gm2693",6082,1588,4494
"Gm32947",6290,2990,3300
"Gm28836",64452,1436,63016
"Gsta3",24991,1610,23381
"LOC101056100",1329,1329,0
"Gm4956",13067,1148,11919
"Gm21909",28873,537,28336
"Khdc1a",22725,2130,20595
"Khdc1c",1413,844,569
"Gm33147",14443,455,13988
"Gm2709",1815,1815,0
"Gm16533",866,866,0
"Khdc1b",2829,2247,582
"Kcnq5",564252,7718,556534
"Gm7658",1230,1230,0
"Gm5696",563,563,0
"Rims1",517303,2189,515114
"Gm7759",6695,1447,5248
"Gm7761",1738,562,1176
"4933415F23Rik",1781,1781,0
"Gm30442",3737,238,3499
"Gm29506",7166,629,6537
"Mir30a",71,71,0
"Mir30c-2",84,84,0
"Gm20954",644,644,0
"Ogfrl1",16787,4882,11905
"Gm19673",8213,3711,4502
"Gm7784",1210,1210,0
"LOC105243890",20484,782,19702
"B3gat2",85940,4362,81578
"Smap1",77626,3110,74516
"LOC105242388",2554,2460,94
"LOC105243891",27352,907,26445
"1110058L19Rik",9702,667,9035
"Fam135a",89703,6835,82868
"Gm30756",3438,3438,0
"Col9a1",75149,4241,70908
"Col19a1",330354,13667,316687
"Tubb4b-ps2",1559,1559,0
"Gm10222",297,297,0
"LOC100503946",681,681,0
"Lmbrd1",87758,5589,82169
"Gm9443",819,819,0
"LOC105243892",1007,714,293
"Bai3",762731,6025,756706
"Gm20172",1551,1551,0
"Gm29214",3122,3122,0
"LOC105243893",13138,279,12859
"Gm31076",6639,248,6391
"Gm19071",1147,1147,0
"Gm18443",556,556,0
"Gm19123",651,651,0
"Gm31136",158024,1381,156643
"4931408C20Rik",5660,4331,1329
"Gm18179",792,792,0
"Gm5524",18378,2029,16349
"Gm18776",654,654,0
"Gm19028",1872,1872,0
"Gm7846",470,470,0
"Gm597",119525,3572,115953
"Gm5697",1768,1768,0
"Gm6462",306,306,0
"Gm18033",569,569,0
"Mir6342",125,125,0
"Gm5525",1411,1411,0
"Gm7858",582,582,0
"Gm31465",17430,2203,15227
"Gm31525",90868,3014,87854
"LOC105243894",272751,1441,271310
"Gm31581",14307,649,13658
"Gm6473",2651,1598,1053
"Gm2914",4905,538,4367
"Phf3",71582,8154,63428
"Gm7256",639,639,0
"Ptp4a1",9463,4446,5017
"Gm32863",2054,1984,70
"Gm5698",723,723,0
"Gm9458",2965,866,2099
"Gm5699",723,723,0
"Gm28644",25679,4929,20750
"Gm29669",17670,829,16841
"4931428L18Rik",81579,1094,80485
"Gm7893",970,970,0
"Lgsn",28291,1903,26388
"Pih1d3",1449,1449,0
"Gm4850",3215,914,2301
"Gm28645",12012,561,11451
"Gm6489",969,969,0
"Gm10307",1226,1226,0
"Gm19680",1540,1540,0
"Gm7910",840,840,0
"Khdrbs2",532537,3587,528950
"Gm9839",1437,1437,0
"Gm5415",3748,3748,0
"Gm7114",1788,1788,0
"Gm4785",748,748,0
"LOC105243895",43027,3117,39910
"Gm2987",645,645,0
"LOC105243896",63780,325,63455
"Gm18799",792,792,0
"Gm7933",1617,1617,0
"Prim2",215987,3545,212442
"Gm29228",1420,743,677
"LOC105243897",12582,10329,2253
"Gm17813",985,985,0
"1700001G17Rik",889,889,0
"Gm32229",7407,2832,4575
"Rab23",22669,4587,18082
"Bag2",12267,1815,10452
"Zfp451",53912,8494,45418
"Gm15455",3016,3016,0
"Bend6",55716,2438,53278
"LOC102634918",1671,1199,472
"Dst",400455,36308,364147
"LOC105243899",28221,2705,25516
"Mir6896",73,73,0
"LOC105243898",12742,4686,8056
"Gm5266",1630,1630,0
"Mir5103",79,79,0
"Ccdc115",3003,1705,1298
"Imp4",5919,2249,3670
"Gm32504",819,568,251
"Ptpn18",14039,1578,12461
"Gm32566",11195,1318,9877
"4930568A12Rik",22053,1538,20515
"Prss39",4633,1246,3387
"Cfc1",8664,1038,7626
"Prss40",24479,2292,22187
"Gm28419",498,498,0
"Gm19225",726,726,0
"Amer3",12014,5138,6876
"Gm29730",4292,997,3295
"AA619741",2676,2676,0
"LOC102642976",9769,1344,8425
"Gm32920",3178,1471,1707
"Gm32790",32621,9834,22787
"Arhgef4",11033,2714,8319
"Fam168b",29833,5080,24753
"Plekhb2",29627,5629,23998
"LOC105243900",2785,2746,39
"Gm19430",7169,2144,5025
"Gm8009",505,505,0
"1110002O04Rik",11578,1200,10378
"Gm33176",13002,597,12405
"Gm8022",882,882,0
"LOC105243901",5100,504,4596
"Gm33222",9135,1836,7299
"LOC105243902",4694,440,4254
"LOC105243903",7526,2286,5240
"Hs6st1",38047,3719,34328
"Gm33280",5386,4273,1113
"Uggt1",104275,9161,95114
"Mir6897",62,62,0
"Gm18750",1349,1349,0
"LOC105243904",6129,163,5966
"Neurl3",10073,2971,7102
"Arid5a",16331,10133,6198
"Kansl3",39248,9115,30133
"Mir6898",77,77,0
"Fer1l5",49912,6562,43350
"Lman2l",22089,2293,19796
"Gm33401",768,317,451
"Gm33454",6829,1152,5677
"Cnnm4",37180,4582,32598
"Cnnm3",16382,5303,11079
"Ankrd23",6696,2687,4009
"Ankrd39",9268,2226,7042
"Sema4c",9742,5037,4705
"Fam178b",120495,3009,117486
"Cox5b",1902,569,1333
"Actr1b",11904,3401,8503
"4933424G06Rik",43423,1127,42296
"Gm33533",29025,3393,25632
"Zap70",21024,2913,18111
"Gm18828",866,866,0
"Tmem131",147449,7276,140173
"Rpl12-ps1",631,631,0
"Vwa3b",161018,5688,155330
"LOC105243906",3791,438,3353
"LOC105243905",18237,2531,15706
"Cnga3",45107,3832,41275
"Gm34028",2006,729,1277
"Inpp4a",110903,9529,101374
"4930439A04Rik",28821,13355,15466
"Coa5",13019,3862,9157
"Unc50",8981,1440,7541
"Mgat4a",101708,7585,94123
"4930594C11Rik",2755,2755,0
"LOC105243907",905,821,84
"2010300C02Rik",108417,5834,102583
"LOC102637491",867,536,331
"LOC102637336",18719,6703,12016
"LOC105243908",15137,9512,5625
"Tsga10",138596,7310,131286
"Lipt1",7792,5517,2275
"Mitd1",11539,1317,10222
"Mrpl30",7841,2339,5502
"Lyg2",10911,2797,8114
"Lyg1",11022,798,10224
"Txndc9",13859,5329,8530
"Eif5b",57580,7807,49773
"Gm34448",6971,861,6110
"Rev1",77134,5315,71819
"LOC105243909",1421,1199,222
"Gm5099",27810,1848,25962
"Aff3",451847,7416,444431
"Gm16150",21250,20924,326
"Gm16152",9141,8678,463
"Gm34727",11743,11743,0
"Gm34596",22702,3637,19065
"Lonrf2",43051,6916,36135
"Chst10",34396,3335,31061
"Gm6621",820,820,0
"Nms",11128,1001,10127
"Gm35171",1005,479,526
"Pdcl3",9423,1706,7717
"Gm35222",1351,349,1002
"Mir6349",97,97,0
"Npas2",169285,4234,165051
"LOC105243910",2763,2763,0
"Gm17904",2452,2452,0
"Gm3617",623,623,0
"Gm35366",4891,746,4145
"Rpl31",4061,1254,2807
"Tbc1d8",107285,5192,102093
"Gm35423",824,783,41
"LOC105243911",8075,8035,40
"Cnot11",11080,3170,7910
"Snord89",94,94,0
"Gm18446",577,577,0
"Rnf149",26148,2857,23291
"Gm5100",615,615,0
"Creg2",33105,6127,26978
"D930019O06Rik",7914,4362,3552
"Rfx8",55701,2775,52926
"Gm3646",1192,359,833
"1700066B17Rik",4903,531,4372
"Gm35600",12378,567,11811
"Map4k4",125399,6075,119324
"Gm16894",9640,858,8782
"Il1r2",43481,5457,38024
"Gm35741",3500,764,2736
"Il1r1",91188,6036,85152
"Il1rl2",43145,5250,37895
"Gm17970",747,696,51
"Il1rl1",60555,7458,53097
"Il18r1",35303,5096,30207
"Il18rap",36346,5103,31243
"Gm35801",8337,341,7996
"Slc9a4",51017,4334,46683
"Gm35854",1296,1205,91
"Slc9a2",87174,3493,83681
"LOC102641498",15044,2773,12271
"Mfsd9",18618,3152,15466
"Tmem182",51287,2716,48571
"Gm5973",701,701,0
"4930448I06Rik",13693,573,13120
"LOC105243912",37692,1005,36687
"Gm35935",3195,713,2482
"Gm29260",196576,7606,188970
"LOC105243913",5934,1682,4252
"Gm5267",1389,1389,0
"Gm8176",1106,1106,0
"Gm28175",46563,10096,36467
"Gm36678",28379,638,27741
"Gm36822",8235,872,7363
"Gm30248",42664,11178,31486
"Pantr1",46626,546,46080
"LOC102640933",1470,627,843
"Pou3f3",3065,3065,0
"2900092D14Rik",2841,2841,0
"Pantr2",6394,463,5931
"Mrps9",54451,2549,51902
"LOC105243914",16039,918,15121
"Gpr45",82580,6672,75908
"Gm3418",495,495,0
"Tgfbrap1",51358,6121,45237
"LOC105243915",1079,625,454
"AI597479",17237,3457,13780
"Fhl2",75229,1702,73527
"LOC105243916",15506,3172,12334
"Gm8210",709,709,0
"Gm29040",63426,3686,59740
"Nck2",124770,2777,121993
"LOC102642726",15555,1505,14050
"Gm30634",3956,1498,2458
"1500015O10Rik",11963,888,11075
"Gm29155",2542,823,1719
"Uxs1",79363,3163,76200
"Gm16103",1684,1684,0
"LOC102632770",1749,1749,0
"Gm8241",3841,3841,0
"Tpp2",69010,4705,64305
"Mettl21c",33228,1760,31468
"Ccdc168",24330,20491,3839
"Tex30",15885,1462,14423
"Kdelc1",12312,2455,9857
"Bivm",25884,4413,21471
"Ercc5",33683,4176,29507
"Mettl21e",14862,3181,11681
"Gm15833",1663,1663,0
"Gm5700",988,988,0
"LOC105243917",975,444,531
"Txn-ps1",426,426,0
"LOC105243918",28894,545,28349
"Gulp1",245343,3267,242076
"Gm16102",832,832,0
"4930521E06Rik",5275,906,4369
"Gm3489",29286,594,28692
"Gm19480",3915,733,3182
"Gm3496",14445,839,13606
"Gm5268",940,940,0
"Col3a1",38169,5564,32605
"LOC105243919",4713,4251,462
"Col5a2",128952,6615,122337
"Gm8296",524,524,0
"Gm7063",1233,1233,0
"Gm8304",763,613,150
"LOC105243920",49337,4835,44502
"Gm8307",973,973,0
"Wdr75",28467,3095,25372
"Gm30900",3994,914,3080
"Gm5526",554,554,0
"Gm18303",1176,1176,0
"Slc40a1",18466,3492,14974
"Gm9496",5794,5794,0
"Rpl23a-ps1",537,537,0
"Gm3852",2029,2029,0
"Gm4776",10023,3483,6540
"Gm18849",2677,2677,0
"Dnah7b",307766,16941,290825
"Gm31046",11646,1938,9708
"Gm8326",2600,2110,490
"Dnah7c",383458,14422,369036
"Slc39a10",118229,6309,111920
"LOC105243921",36113,338,35775
"Gm4852",1476,1476,0
"LOC105243922",27637,624,27013
"Mir6350",105,105,0
"Gm18117",688,688,0
"Gm8337",2085,2085,0
"Gm19206",811,811,0
"Gm5974",1203,1203,0
"Gm8354",2459,2459,0
"Gm19124",931,931,0
"Gm8357",1231,1231,0
"Gm19644",1192,1192,0
"Gm8367",757,757,0
"C230029F24Rik",95816,542,95274
"Gm6757",2016,2016,0
"Gm3605",431,305,126
"Gm8384",1706,1706,0
"Gm8391",723,723,0
"LOC105243923",24147,114,24033
"LOC102633655",162,162,0
"Gm28321",5227,2458,2769
"Tmeff2",277309,6573,270736
"LOC105243924",19323,5679,13644
"9330175M20Rik",115394,2552,112842
"Sdpr",13835,3055,10780
"Gm5253",1022,1022,0
"Nabp1",13162,6687,6475
"Gm17767",25354,1051,24303
"Gm31636",23473,292,23181
"Myo1b",166221,6226,159995
"Gm33795",1397,940,457
"Gm8419",619,619,0
"Gm8420",626,626,0
"Stat4",120084,3208,116876
"Gm3940",489,489,0
"Gm31812",6603,1340,5263
"Stat1",42428,5356,37072
"Gm18301",896,896,0
"Gls",69784,12046,57738
"Gm31867",8832,549,8283
"Gm5975",1375,1375,0
"Gm31955",62053,733,61320
"Nab1",44600,5092,39508
"Gm5976",1218,1218,0
"Gm553",16209,1305,14904
"Rps27a-ps1",511,511,0
"Tmem194b",83385,3646,79739
"Gm28178",10246,2911,7335
"Gm5527",719,719,0
"Mfsd6",71164,6019,65145
"Gm28650",533,533,0
"Inpp1",32264,5977,26287
"Hibch",75815,1704,74111
"Gm16107",1023,1023,0
"1700019D03Rik",69020,4248,64772
"Mstn",6417,2682,3735
"1700019A02Rik",30075,2048,28027
"Pms1",107840,3340,104500
"LOC105243925",3420,2372,1048
"Ormdl1",13151,1846,11305
"Osgepl1",13447,2675,10772
"Gm18800",6504,6504,0
"Asnsd1",8136,2442,5694
"Gm6801",2171,2171,0
"Dnah7a",311625,14180,297445
"Gm32311",56495,1938,54557
"Stk17b",29739,3313,26426
"Hecw2",388163,12947,375216
"Mir7681",72,72,0
"Ccdc150",118067,5138,112929
"Gtf3c3",41391,3005,38386
"Gm34066",14252,1717,12535
"Pgap1",84685,10579,74106
"Gm19637",907,907,0
"Ankrd44",281394,8153,273241
"4930444A19Rik",85146,2719,82427
"Sf3b1",42332,7439,34893
"Coq10b",19933,1733,18200
"Gm17971",856,856,0
"Hspd1",10279,2456,7823
"Hspe1",3170,768,2402
"Gm5147",837,837,0
"Gm16581",999,999,0
"Mob4",23964,3135,20829
"Gm6822",454,454,0
"Rftn2",56907,4300,52607
"Gm32792",9714,1755,7959
"Gm10561",8874,660,8214
"Mars2",2882,2882,0
"Boll",124674,13121,111553
"Gm8292",451,451,0
"Gm29138",313,313,0
"Gm8531",14731,852,13879
"Plcl1",348340,6555,341785
"Gm6644",1369,1369,0
"LOC105243926",7407,7255,152
"Gm32949",28599,2445,26154
"9130227L01Rik",40858,1906,38952
"1700003I22Rik",1226,482,744
"Hsfy2",1408,1408,0
"Satb2",184701,6482,178219
"9130024F11Rik",3728,3728,0
"LOC102636041",40015,2519,37496
"LOC105243927",23307,1244,22063
"BC055402",14352,3304,11048
"Gm5254",1331,1331,0
"4930558J18Rik",18323,2052,16271
"1700066M21Rik",7830,3327,4503
"Tyw5",18776,2220,16556
"9430016H08Rik",9411,1325,8086
"Gm8581",843,843,0
"Gm17929",553,553,0
"Spats2l",174237,4701,169536
"Kctd18",14984,3184,11800
"Sgol2a",40938,5416,35522
"Aox1",76602,5680,70922
"Aox3",87317,5181,82136
"LOC105243928",25919,3751,22168
"Aox4",58204,5151,53053
"Aox2",103124,5572,97552
"Gm15759",26247,655,25592
"LOC105243929",26126,584,25542
"Gm6860",224,224,0
"Bzw1",14219,3740,10479
"Clk1",12101,3088,9013
"Ppil3",14535,2254,12281
"Nif3l1",17121,2639,14482
"Orc2",42339,3561,38778
"Gm15834",33699,7012,26687
"Fam126b",63528,9769,53759
"Ndufb3",9350,532,8818
"Gm18802",588,588,0
"Gm10068",1725,1725,0
"Gm20257",3191,936,2255
"Als2cr12",37894,3462,34432
"Cflar",47900,8929,38971
"LOC105243930",3449,1612,1837
"LOC105243931",24292,796,23496
"Casp8",52275,3038,49237
"Gm28802",46902,2304,44598
"Trak2",73034,6241,66793
"Stradb",21600,2366,19234
"Gm33589",28157,7754,20403
"LOC105243932",2255,716,1539
"Als2cr11",44510,2249,42261
"Tmem237",19897,2365,17532
"Mpp4",42455,3087,39368
"Gm19125",1351,1351,0
"Als2",74476,7038,67438
"LOC105243933",310,265,45
"Gm33667",1645,714,931
"Cdk15",95724,2076,93648
"Gm33724",25682,6094,19588
"Gm33774",3300,2323,977
"Fzd7",4809,4809,0
"Gm973",121695,7385,114310
"LOC105243935",4227,423,3804
"Gm28411",7903,873,7030
"LOC105243934",13727,8973,4754
"Gm33833",7382,1335,6047
"Sumo1",31401,1215,30186
"Nop58",26560,2148,24412
"Snord70",53,53,0
"Snord11",63,63,0
"Bmpr2",113812,11096,102716
"Fam117b",72343,5534,66809
"Gm18829",2059,2059,0
"Ica1l",54099,4380,49719
"Wdr12",21633,3392,18241
"Carf",55733,5815,49918
"Gm15464",527,527,0
"Nbeal1",156077,14523,141554
"Cyp20a1",45261,2746,42515
"Abi2",72958,7474,65484
"Raph1",83890,9658,74232
"LOC102637269",442,442,0
"Gm11578",1916,1467,449
"LOC105243936",5634,5052,582
"Eif4a-ps4",1778,1778,0
"Cd28",26972,4317,22655
"2310016D23Rik",25330,770,24560
"Gm11609",589,589,0
"Gm11581",1534,1534,0
"LOC105243938",33408,4257,29151
"LOC105243937",536,427,109
"Rpl18-ps1",601,601,0
"Ctla4",6808,1933,4875
"Gm34649",23826,2219,21607
"Gm11582",1169,1169,0
"Icos",39550,4302,35248
"Rpl17-ps1",619,619,0
"LOC105243939",48577,916,47661
"Gm34824",39762,804,38958
"9530026F06Rik",17473,892,16581
"Pard3b",1003618,9294,994324
"Gm35022",3559,2936,623
"Pard3bos1",78249,14185,64064
"LOC105243940",5984,3772,2212
"Gm34881",12442,3134,9308
"LOC105243941",44204,2805,41399
"Nrp2",115376,8122,107254
"LOC105243942",7246,4628,2618
"4930487H11Rik",3815,895,2920
"Gm4208",17713,2382,15331
"Gm35120",2934,275,2659
"LOC105243943",4055,847,3208
"Gm35252",50419,1998,48421
"LOC102638884",6656,916,5740
"Ino80d",66467,14650,51817
"Rps27-ps1",323,323,0
"Ino80dos",43825,1802,42023
"Ndufs1",33231,2979,30252
"Eef1b2",3656,1933,1723
"Snora41",113,113,0
"Gpr1",40708,2469,38239
"Zdbf2",114219,13322,100897
"1700039I01Rik",5634,3048,2586
"Gm11608",6580,1251,5329
"Gm11606",617,617,0
"Gm11605",1064,1064,0
"Gm35393",6087,1727,4360
"Adam23",150631,6989,143642
"LOC105243944",5135,1388,3747
"Dytn",64077,2427,61650
"Mdh1b",42975,1987,40988
"Fastkd2",22787,3250,19537
"4933402D24Rik",14359,1756,12603
"Gm13751",806,806,0
"Cpo",32744,1224,31520
"Gm13749",4273,1432,2841
"Klf7",88615,3740,84875
"Mir6899",64,64,0
"Gm13748",21870,12910,8960
"Gm35937",3108,3078,30
"Gm35880",120677,339,120338
"Gm13750",718,718,0
"LOC105243945",9163,545,8618
"Gm35803",19187,638,18549
"Gm28980",250,250,0
"Gm36148",4558,3778,780
"Creb1",71745,9583,62162
"Mettl21a",13949,5926,8023
"Gm29152",3151,1566,1585
"2810408I11Rik",10791,713,10078
"Ccnyl1",34642,4349,30293
"Fzd5",7193,6914,279
"LOC105243946",3597,3597,0
"Plekhm3",167705,9393,158312
"Gm18633",996,996,0
"Rpl31-ps24",379,379,0
"Rpl10a-ps1",713,713,0
"Akr1cl",19693,1383,18310
"Gm8550",1023,1023,0
"Cryge",8562,671,7891
"Crygd",1603,635,968
"Crygc",2008,629,1379
"Crygb",2069,633,1436
"Gm7329",555,555,0
"Cryga",2975,615,2360
"D630023F18Rik",18068,2982,15086
"Gm36358",7262,1451,5811
"Idh1",27864,2438,25426
"Pikfyve",92058,11552,80506
"Pth2r",109344,6295,103049
"Gm28923",395,395,0
"Gm5255",707,707,0
"LOC101056035",1869,359,1510
"Crygf",1783,622,1161
"LOC102637742",12835,1001,11834
"Gm8812",415,415,0
"Map2",267338,11278,256060
"Gm18034",538,538,0
"Unc80",230854,13730,217124
"LOC105243947",3584,223,3361
"Rpe",19009,3147,15862
"Kansl1l",98354,11425,86929
"LOC105243948",19777,10580,9197
"Gm15789",2603,2603,0
"Acadl",32471,1948,30523
"LOC105243949",1315,1139,176
"Gm15793",644,644,0
"Myl1",21179,1475,19704
"Rpl31-ps14",504,504,0
"Gm15826",1617,1617,0
"Lancl1",38356,4528,33828
"Cps1",108842,5579,103263
"LOC105243950",22704,314,22390
"Kif22-ps",2053,2053,0
"LOC105243951",27470,396,27074
"Erbb4",1076891,16463,1060428
"Gm8840",485,485,0
"Pced1c-ps",1227,1227,0
"Gm28497",12956,4074,8882
"Ikzf2",156145,10391,145754
"Gm29822",19263,3735,15528
"Spag16",898261,5559,892702
"Gm17972",635,635,0
"Vwc2l",161294,7421,153873
"Gm29906",67612,3131,64481
"LOC100534391",1320,1320,0
"Bard1",75703,5713,69990
"Gm8870",842,842,0
"Abca12",171821,8323,163498
"LOC105243952",1955,252,1703
"Gm6947",569,569,0
"Atic",22248,2611,19637
"Fn1",67762,8425,59337
"Apol7d",9509,1193,8316
"Gm19003",1138,1138,0
"Gm5829",606,606,0
"Gm5256",14732,1434,13298
"LOC105243953",12818,2099,10719
"Gm30160",21902,3351,18551
"Gm30308",22283,2320,19963
"Gm8883",3093,1019,2074
"Gm28818",23291,3773,19518
"4933417E11Rik",46198,1093,45105
"Gm5528",492,492,0
"Gm8885",599,599,0
"Gm4319",16597,2263,14334
"Mreg",53075,3721,49354
"D230017M19Rik",36326,6197,30129
"Pecr",25143,1186,23957
"Tmem169",18743,3067,15676
"Xrcc5",87537,2946,84591
"LOC105243954",8199,6469,1730
"March4",109453,4541,104912
"Gm15843",578,578,0
"Smarcal1",100104,7859,92245
"LOC105243955",793,622,171
"Ankar",57600,4590,53010
"Gm18035",583,583,0
"Rpl37a",2554,588,1966
"LOC105243956",10827,6286,4541
"Gm30788",25949,5489,20460
"Gm30847",55819,4448,51371
"Igfbp2",27995,1478,26517
"Igfbp5",16801,5854,10947
"Gm9551",864,864,0
"Gm31047",15881,3519,12362
"Gm17846",1591,1591,0
"Gm31137",21188,429,20759
"Tnp1",826,427,399
"1700027A15Rik",9473,571,8902
"Gm31254",2109,931,1178
"LOC105243957",168670,574,168096
"Gm31197",7337,199,7138
"Gm31344",18302,6378,11924
"Pinc",16185,1560,14625
"D530049I02Rik",31812,551,31261
"Gm9553",972,972,0
"LOC102633705",7202,952,6250
"6030407O03Rik",246086,1801,244285
"Gm29183",15751,2273,13478
"Mir6351",99,99,0
"Tns1",214305,13198,201107
"LOC105243958",1988,1883,105
"Gm31637",1766,1203,563
"Rufy4",23613,3355,20258
"Cxcr2",7253,3122,4131
"Cxcr1",6360,3910,2450
"Mir1928",67,67,0
"Gm31691",7165,1403,5762
"Arpc2",31710,1643,30067
"Gpbar1",990,990,0
"Aamp",4899,2117,2782
"Pnkd",69096,3632,65464
"Tmbim1",16090,3639,12451
"Catip",7216,2445,4771
"Slc11a1",11044,2573,8471
"Ctdsp1",5677,2776,2901
"Mir26b",85,85,0
